City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
63,Kaitangata,NZ,2022-05-22 05:37:30,-46.2817,169.8464,44.42,74,55,12.15
64,Thompson,CA,2022-05-22 05:29:16,55.7435,-97.8558,33.96,80,40,0.0
65,Bowen,AU,2022-05-22 05:37:30,-20.0167,148.2333,76.44,70,54,16.8
66,Lujan,AR,2022-05-22 05:37:31,-34.5703,-59.105,51.94,60,1,1.86
67,Airai,TL,2022-05-22 05:35:15,-8.9266,125.4092,72.57,55,44,4.34
68,Brownwood,US,2022-05-22 05:37:31,31.7093,-98.9912,65.52,59,100,12.66
69,Jos,NG,2022-05-22 05:37:31,9.9167,8.9,69.1,83,82,3.87
70,Bredasdorp,ZA,2022-05-22 05:35:14,-34.5322,20.0403,52.11,82,30,6.04
71,Ahipara,NZ,2022-05-22 05:37:31,-35.1667,173.1667,59.9,78,100,11.16
72,Beitbridge,ZW,2022-05-22 05:37:32,-22.2167,30.0,62.74,51,50,4.09
73,Paracuru,BR,2022-05-22 05:37:32,-3.41,-39.0306,74.1,90,20,7.23
74,Bluefields,NI,2022-05-22 05:37:32,12.0137,-83.7635,76.78,91,99,4.85
75,Saint George,US,2022-05-22 05:35:54,37.1041,-113.5841,64.99,24,0,5.75
76,Kiri Buru,IN,2022-05-22 05:37:33,22.0833,85.35,99.46,26,82,11.83
77,Port Macquarie,AU,2022-05-22 05:37:33,-31.4333,152.9167,58.89,100,75,8.05
78,Nyurba,RU,2022-05-22 05:37:33,63.2842,118.3319,62.74,40,82,8.14
79,Bengkulu,ID,2022-05-22 05:29:18,-3.8004,102.2655,84.61,65,56,6.44
80,Vila Velha,BR,2022-05-22 05:34:29,-20.3297,-40.2925,60.75,94,40,2.3
81,Busselton,AU,2022-05-22 05:29:17,-33.65,115.3333,68.23,72,53,24.67
82,Pochutla,MX,2022-05-22 05:37:33,15.7432,-96.4661,76.82,78,98,4.21
83,Butare,RW,2022-05-22 05:37:34,-2.5967,29.7394,62.58,78,100,1.19
84,Pevek,RU,2022-05-22 05:37:34,69.7008,170.3133,37.08,91,77,6.04
85,Clyde River,CA,2022-05-22 05:37:34,70.4692,-68.5914,19.63,93,100,16.11
86,Doha,QA,2022-05-22 05:37:34,25.2867,51.5333,96.78,23,0,16.11
87,Tura,IN,2022-05-22 05:35:12,25.5198,90.2201,86.16,61,15,5.48
88,Port Alfred,ZA,2022-05-22 05:37:35,-33.5906,26.891,58.26,78,2,6.15
89,Alta Floresta,BR,2022-05-22 05:35:13,-9.8756,-56.0861,63.43,79,1,3.18
90,Jaciara,BR,2022-05-22 05:36:26,-15.9653,-54.9683,54.37,58,14,2.15
91,Qaqortoq,GL,2022-05-22 05:37:35,60.7167,-46.0333,39.36,82,100,13.38
92,Egvekinot,RU,2022-05-22 05:37:35,66.3167,-179.1667,48.13,51,69,2.59
93,Waddan,LY,2022-05-22 05:38:35,29.1614,16.139,67.37,31,0,6.15
94,Caravelas,BR,2022-05-22 05:38:36,-17.7125,-39.2481,69.67,75,0,6.33
95,Vygonichi,RU,2022-05-22 05:38:36,53.0985,34.0673,46.51,100,100,8.95
96,Meulaboh,ID,2022-05-22 05:38:36,4.1363,96.1285,83.93,71,91,4.05
97,Kangaba,ML,2022-05-22 05:38:37,11.9333,-8.4167,76.42,74,100,6.85
98,Tramandai,BR,2022-05-22 05:33:48,-29.9847,-50.1336,55.35,81,90,3.42
99,Boyolangu,ID,2022-05-22 05:38:37,-8.1181,111.8935,85.06,69,32,1.57
100,Klaksvik,FO,2022-05-22 05:38:37,62.2266,-6.589,47.32,88,100,13.2
101,Constitucion,CL,2022-05-22 05:35:56,-35.3333,-72.4167,53.1,71,100,4.85
102,Batagay-Alyta,RU,2022-05-22 05:38:37,67.8006,130.4114,40.23,71,85,1.83
103,Corrente,BR,2022-05-22 05:38:38,-3.7367,-43.3394,69.93,99,85,1.52
104,Lingdong,CN,2022-05-22 05:38:38,46.5669,131.1453,68.58,32,38,8.63
105,Srednekolymsk,RU,2022-05-22 05:38:38,67.45,153.6833,55.44,46,99,11.12
106,Lubango,AO,2022-05-22 05:38:39,-14.9172,13.4925,54.48,31,43,0.87
107,Hasaki,JP,2022-05-22 05:38:39,35.7333,140.8333,72.0,80,91,19.04
108,Fayaoue,NC,2022-05-22 05:38:39,-20.65,166.5333,77.59,81,80,16.96
109,Prince Rupert,CA,2022-05-22 05:38:39,54.3161,-130.3201,56.89,55,0,4.61
110,Nikolskoye,RU,2022-05-22 05:38:40,59.7035,30.7861,48.87,44,0,7.34
111,Herat,AF,2022-05-22 05:35:12,34.5,62.0,64.11,40,0,21.85
112,Siocon,PH,2022-05-22 05:38:40,7.7061,122.1353,85.44,72,98,5.61
113,Margate,GB,2022-05-22 05:38:40,51.3813,1.3862,53.69,89,75,3.18
114,Buchanan,LR,2022-05-22 05:34:43,5.8808,-10.0467,74.86,91,100,5.12
115,Sitka,US,2022-05-22 05:38:40,57.0531,-135.33,53.49,58,0,3.44
116,La Ronge,CA,2022-05-22 05:38:41,55.1001,-105.2842,48.42,34,20,5.75
117,Port Lincoln,AU,2022-05-22 05:38:41,-34.7333,135.8667,62.69,71,86,12.41
118,Fairbanks,US,2022-05-22 05:36:58,64.8378,-147.7164,66.6,36,40,12.66
119,Libertador General San Martin,AR,2022-05-22 05:38:41,-23.8064,-64.7876,54.5,68,53,2.84
